Sorted by name ,Linear,Quadratic ,Undecided ,DA WD,Size (of spectrum),Comments
DESI_WDJ220530.29-120312.20_bin0p2.dat,1,,,,2,
DESI_WDJ220848.74-015403.61_bin0p2.dat,,,1,,3,shifted 
DESI_WDJ222549.72+054438.04_bin0p2.dat,1,,,,1,or DA
DESI_WDJ223607.66-014059.65_bin0p2.dat,,,1,,3,shifted 
DESI_WDJ223751.28+260900.35_bin0p2.dat,,,1,,3,v noisy 
DESI_WDJ224741.46+145638.84_bin0p2.dat,,,1,,3,hard to distinguish anything from this
DESI_WDJ225158.80+050332.42_bin0p2.dat,,,1,,3,maybe DZ
DESI_WDJ225325.81-040822.38_bin0p2.dat,,1,,,2,or 3 
DESI_WDJ225347.95+270332.05_bin0p2.dat,,1,,,2,or 3 or DA
DESI_WDJ225527.35-055823.35_bin0p2.dat,,,1,,3,or DA
DESI_WDJ230225.59+311047.46_bin0p2.dat,1,,,,2,
DESI_WDJ230237.91+184108.90_bin0p2.dat,1,,,,1,
DESI_WDJ231456.19-064247.72_bin0p2.dat,,1,,,3,or DA
DESI_WDJ231845.10+123602.77_bin0p2.dat,,1,,,2,or 3
DESI_WDJ233111.92+170812.81_bin0p2.dat,1,,,,2,
DESI_WDJ233549.70+291259.74_bin0p2.dat,,,1,,2,shifted 
DESI_WDJ233621.77-082849.31_bin0p2.dat,,1,,,2,shifted 
DESI_WDJ234338.90+165031.50_bin0p2.dat,,1,,,3,
DESI_WDJ234700.67+193019.61_bin0p2.dat,,1,,,3,v noisy 
DESI_WDJ235613.86+235725.58_bin0p2.dat,1,,,,1,
DESI_WDJ235958.62+301622.51_bin0p2.dat,1,,,,1,"or 2,3 or DA"
