Column1,Column2,Column3,Column4
,469600000,1875.051,
,704400000,1616.543,
,939200000,1449.597,
81,2p-1,->,5d0
,10,4340.47,
,4696000,4290.43,
,7044000,4258.202,
,9392000,4222.647,
,11740000,4184.582,
,14090000,4144.727,
,16440000,4103.676,
,18780000,4061.902,
,21130000,4019.772,
,23480000,3977.572,
,25830000,3935.525,
,28180000,3893.81,
,30520000,3852.588,
,32870000,3812.016,
,37570000,3733.575,
,42260000,3660.422,
,46960000,3594.73,
,49310000,3564.889,
,51650000,3536.785,
,54000000,3510.1,
,56350000,3484.515,
,58700000,3459.724,
,61050000,3435.365,
,63390000,3410.771,
,65740000,3384.193,
,68090000,3352.577,
,70440000,3316.727,
,72790000,3279.926,
,75130000,3243.678,
,77480000,3208.886,
,79830000,3178.321,
,82180000,3155.959,
,84530000,3137.124,
,85000000,3133.505,
,85470000,3129.917,
,85930000,3126.357,
,86400000,3122.822,
,86870000,3119.31,
,87340000,3115.818,
,87810000,3112.347,
,88280000,3108.893,
,88750000,3105.458,
,89220000,3102.039,
,89690000,3098.636,
,90160000,3095.248,
,90630000,3091.875,
,91100000,3088.517,
,91570000,3085.174,
,92040000,3081.843,
,92510000,3078.527,
,92980000,3075.224,
,93450000,3071.933,
,93920000,3068.656,
,103300000,3005.535,
,112700000,2946.486,
,122100000,2890.96,
,131500000,2838.559,
,136200000,2813.422,
,140900000,2788.956,
,150300000,2741.87,
,152600000,2730.461,
,159700000,2697.045,
,164400000,2675.407,
,169100000,2654.248,
,176100000,2623.349,
,178400000,2613.26,
,187800000,2573.875,
,199600000,2526.62,
,211300000,2481.324,
,223100000,2437.955,
,234800000,2396.739,
,258300000,2321.601,
,281800000,2255.357,
,305200000,2195.958,
,328700000,2141.916,
,352200000,2092.255,
,375700000,2046.333,
,422600000,1963.762,
,469600000,1891.584,
,704400000,1627.762,
,939200000,1458.117,
81,2p-1,->,5g0
,10,4340.47,
,4696000,4296.762,
,7044000,4271.765,
,9392000,4245.369,
,11740000,4217.812,
,14090000,4189.328,
,16440000,4160.135,
,18780000,4130.433,
,21130000,4100.394,
,23480000,4070.169,
,25830000,4039.881,
,28180000,4009.626,
,30520000,3979.475,
,32870000,3949.464,
,37570000,3889.777,
,42260000,3829.299,
,46960000,3761.221,
,49310000,3719.923,
,51650000,3674.626,
,54000000,3627.973,
,56350000,3581.55,
,58700000,3536.129,
,61050000,3492.209,
,63390000,3450.468,
,65740000,3412.62,
,68090000,3381.66,
,70440000,3356.727,
,72790000,3334.503,
,75130000,3313.525,
,77480000,3293.307,
,79830000,3273.653,
,82180000,3254.468,
,84530000,3235.697,
,85000000,3231.989,
,85470000,3228.295,
,85930000,3224.617,
,86400000,3220.953,
,86870000,3217.303,
,87340000,3213.667,
,87810000,3210.046,
,88280000,3206.437,
,88750000,3202.843,
,89220000,3199.261,
,89690000,3195.694,
,90160000,3192.139,
,90630000,3188.597,
,91100000,3185.068,
,91570000,3181.551,
,92040000,3178.048,
,92510000,3174.556,
,92980000,3171.077,
,93450000,3167.611,
,93920000,3164.156,
,103300000,3097.467,
,112700000,3034.925,
,122100000,2976.023,
,131500000,2920.344,
,136200000,2893.6,
,140900000,2867.53,
,150300000,2817.255,
,152600000,2805.048,
,159700000,2769.218,
,164400000,2745.947,
,169100000,2723.129,
,176100000,2689.676,
,178400000,2678.715,
,187800000,2635.737,
,199600000,2583.792,
,211300000,2533.853,
,223100000,2486.373,
,234800000,2441.924,
,258300000,2362.477,
,281800000,2293.296,
,305200000,2231.553,
,328700000,2175.513,
,352200000,2124.119,
,375700000,2076.647,
,422600000,1991.43,
,469600000,1916.788,
,704400000,1644.667,
,939200000,1470.885,
46,2p0,->,5s0
,10,4340.47,
,4696000,4315.552,
,7044000,4285.074,
,9392000,4245.728,
,11740000,4199.629,
,14090000,4148.666,
,16440000,4094.512,
,18780000,4039.068,
,21130000,4005.813,
,23480000,3989.491,
,25830000,3973.201,
,28180000,3956.674,
,30520000,3939.865,
,32870000,3922.715,
,35220000,3905.115,
,37570000,3886.893,
,42260000,3847.563,
,46960000,3802.795,
,51650000,3753.41,
,56350000,3704.448,
,61050000,3662.141,
,65740000,3628.08,
,70440000,3599.198,
,75130000,3572.59,
,79830000,3541.385,
,84530000,3485.357,
,89220000,3433.303,
,93920000,3409.711,
,103300000,3369.912,
,112700000,3332.531,
,122100000,3296.961,
,131500000,3262.961,
,164400000,3154.165,
,187800000,3084.025,
,211300000,3018.148,
,234800000,2955.778,
,258300000,2898.353,
,281800000,2847.22,
,305200000,2800.958,
,328700000,2760.941,
,352200000,2718.562,
,375700000,2681.185,
,422600000,2612.268,
,469600000,2562.803,
,704400000,2342.84,
,939200000,2195.785,
47,2s0,->,5p0
,10,4340.47,
,4696000,4324.767,
,7044000,4304.961,
,9392000,4279.354,
,14090000,4216.223,
,23480000,4073.008,
,25830000,4039.491,
,28180000,4009.761,
,30520000,3985.323,
,32870000,3965.687,
,35220000,3949.053,
,37570000,3934.068,
,39920000,3920.033,
,46960000,3880.945,
,58700000,3821.209,
,61050000,3809.848,
,63390000,3798.66,
,65740000,3787.642,
,68090000,3776.79,
,70440000,3766.1,
,75130000,3745.199,
,79830000,3724.921,
,84530000,3705.25,
,89220000,3686.165,
,93920000,3667.639,
,98610000,3649.639,
,103300000,3632.121,
,108000000,3615.034,
,112700000,3598.318,
,117400000,3581.915,
,122100000,3565.769,
,126800000,3549.841,
,131500000,3534.12,
,136200000,3518.636,
,140900000,3503.464,
,150300000,3474.578,
,159700000,3448.638,
,169100000,3426.432,
,178400000,3407.917,
,187800000,3392.513,
,234800000,3344.054,
,295800000,3317.759,
,328700000,3312.804,
,375700000,3312.15,
,469600000,3321.418,
,704400000,3340.563,
,939200000,3324.248,
41,2p-1,->,5d-1
,10,4340.47,
,4696000,4325.293,
,7044000,4306.061,
,9392000,4281.133,
,11740000,4251.829,
,14090000,4219.342,
,16440000,4184.694,
,18780000,4148.735,
,21130000,4112.157,
,23480000,4075.518,
,28180000,4003.666,
,32870000,3935.323,
,37570000,3871.156,
,42260000,3810.862,
,46960000,3753.735,
,51650000,3699.05,
,56350000,3646.227,
,61050000,3594.852,
,65740000,3544.652,
,70440000,3495.48,
,75130000,3447.288,
,79830000,3400.119,
,84530000,3354.089,
,89220000,3309.37,
,93920000,3266.166,
,103300000,3185.037,
,112700000,3111.555,
,122100000,3045.302,
,131500000,2985.081,
,140900000,2929.68,
,164400000,2806.887,
,187800000,2700.689,
,211300000,2606.966,
,234800000,2523.225,
,281800000,2379.168,
,328700000,2258.984,
,375700000,2156.628,
,422600000,2067.944,
,469600000,1989.916,
,704400000,1709.378,
,939200000,1527.998,
46,2p0,->,5d0
,10,4340.47,
,4696000,4330.9,
,7044000,4318.092,
,9392000,4301.287,
,11740000,4281.249,
,14090000,4258.669,
,16440000,4234.135,
,18780000,4208.128,
,21130000,4181.029,
,23480000,4153.147,
,25830000,4124.729,
,28180000,4095.987,
,30520000,4067.111,
,32870000,4038.298,
,35220000,4009.771,
,37570000,3981.801,
,42260000,3928.934,
,46960000,3882.515,
,51650000,3843.242,
,56350000,3809.004,
,61050000,3776.98,
,65740000,3741.036,
,70440000,3683.512,
,75130000,3617.225,
,79830000,3558.717,
,84530000,3529.11,
,89220000,3506.21,
,93920000,3484.57,
,103300000,3443.444,
,112700000,3404.502,
,122100000,3367.368,
,131500000,3331.813,
,164400000,3217.374,
,187800000,3142.516,
,211300000,3070.859,
,234800000,3002.62,
,258300000,2941.665,
,281800000,2888.579,
,305200000,2841.215,
,328700000,2798.181,
,352200000,2757.992,
,375700000,2720.64,
,422600000,2652.305,
,469600000,2593.788,
,704400000,2366.479,
,939200000,2215.393,
41,2p-1,->,5g-1
,10,4340.47,
,4696000,4334.987,
,7044000,4326.817,
,9392000,4315.799,
,11740000,4302.246,
,14090000,4286.468,
,16440000,4268.756,
,18780000,4249.369,
,21130000,4228.54,
,23480000,4206.472,
,28180000,4159.321,
,32870000,4109.128,
,37570000,4056.865,
,42260000,4003.331,
,46960000,3949.201,
,51650000,3895.049,
,56350000,3841.367,
,61050000,3788.567,
,65740000,3736.987,
,70440000,3686.887,
,75130000,3638.448,
,79830000,3591.778,
,84530000,3546.919,
,89220000,3503.859,
,93920000,3462.546,
,103300000,3384.822,
,112700000,3312.985,
,122100000,3246.268,
,131500000,3183.998,
,140900000,3125.62,
,164400000,2993.924,
,187800000,2878.757,
,211300000,2776.723,
,234800000,2685.422,
,281800000,2528.272,
,328700000,2397.205,
,375700000,2285.714,
,422600000,2189.362,
,469600000,2104.991,
,704400000,1799.524,
,939200000,1603.38,
47,2s0,->,5f0
,10,4340.47,
,4696000,4336.778,
,7044000,4330.92,
,9392000,4323.241,
,14090000,4303.805,
,23480000,4255.755,
,25830000,4242.75,
,28180000,4229.523,
,30520000,4216.124,
,32870000,4202.591,
,35220000,4188.951,
,37570000,4175.226,
,39920000,4161.431,
,46960000,4119.732,
,58700000,4049.526,
,61050000,4035.411,
,63390000,4021.279,
,65740000,4007.135,
,68090000,3992.985,
,70440000,3978.836,
